,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
56,90066,Los Angeles,Los Angeles,24745,4.5,3.5,7.8,7.9,10.9,17.7,13.5,15.9,7.6,10.6,72004.0,98196.0
57,90067,Los Angeles,Los Angeles,1457,5.6,3.4,6.3,3.5,6.2,11.3,9.1,11.7,5.7,37.2,120208.0,245064.0
58,90068,Los Angeles,Los Angeles,11785,8.2,3.6,5.6,6.6,8.4,17.0,9.1,12.8,8.0,20.7,76485.0,134410.0
59,90069,West Hollywood,Los Angeles,12548,5.6,4.3,5.1,6.7,10.4,14.5,14.3,15.6,9.6,13.9,82237.0,126658.0
60,90071,Los Angeles,Los Angeles,0,,,,,,,,,,,,
61,90073,Los Angeles,Los Angeles,0,,,,,,,,,,,,
62,90077,Los Angeles,Los Angeles,3381,1.5,1.6,1.4,4.1,5.9,7.7,8.8,10.8,11.9,46.3,178194.0,263784.0
63,90079,Los Angeles,Los Angeles,0,,,,,,,,,,,,
64,90089,Los Angeles,Los Angeles,6,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
65,90094,Los Angeles,Los Angeles,3528,5.0,3.0,1.7,8.4,4.0,13.1,6.6,19.4,10.1,28.8,121087.0,156438.0
66,90095,Los Angeles,Los Angeles,0,,,,,,,,,,,,
67,90201,Bell,Los Angeles,23937,6.7,6.1,16.3,15.2,19.9,18.5,9.3,6.0,1.3,0.6,38244.0,47309.0
68,90210,Beverly Hills,Los Angeles,8138,8.2,4.3,4.5,2.2,3.4,7.0,6.9,14.3,11.1,38.1,146250.0,264375.0
69,90211,Beverly Hills,Los Angeles,3652,6.8,2.3,7.0,6.5,10.5,17.9,9.7,15.2,7.7,16.4,73659.0,130498.0
70,90212,Beverly Hills,Los Angeles,5784,9.6,3.4,3.7,3.2,7.2,11.3,11.4,19.0,10.8,20.3,100183.0,159616.0
71,90220,Compton,Los Angeles,13376,6.6,6.6,11.9,8.3,15.8,21.3,12.1,13.0,3.5,0.9,50938.0,60097.0
72,90221,Compton,Los Angeles,12066,7.2,5.1,14.0,13.4,16.8,19.4,11.4,9.0,3.1,0.7,43304.0,54056.0
73,90222,Compton,Los Angeles,7776,9.0,10.4,14.1,14.4,14.6,17.7,9.1,8.1,1.7,1.0,37730.0,47982.0
74,90230,Culver City,Los Angeles,13186,5.3,4.0,8.6,7.2,9.3,17.1,13.2,18.0,8.2,9.1,73469.0,95434.0
75,90232,Culver City,Los Angeles,6416,6.3,3.2,6.1,5.1,10.6,14.7,14.4,16.4,9.5,13.7,80222.0,108011.0
76,90240,Downey,Los Angeles,7118,2.7,2.2,4.0,6.1,12.4,19.6,16.4,17.9,7.8,10.9,76748.0,99894.0
77,90241,Downey,Los Angeles,13615,4.1,3.8,7.8,10.9,14.5,20.4,15.0,13.9,5.4,4.1,61151.0,76801.0
78,90242,Downey,Los Angeles,12062,5.7,4.1,7.8,9.5,12.5,22.7,16.8,14.3,3.8,2.7,60732.0,69933.0
79,90245,El Segundo,Los Angeles,6673,3.1,2.7,3.5,5.1,7.9,17.6,13.8,17.9,12.7,15.7,91623.0,118297.0
80,90247,Gardena,Los Angeles,15922,7.8,6.0,13.4,13.9,13.0,18.1,10.9,10.4,4.1,2.5,44824.0,61014.0
81,90248,Gardena,Los Angeles,3479,4.9,4.9,12.7,6.3,15.6,18.6,14.5,12.0,5.0,5.6,55368.0,73133.0
82,90249,Gardena,Los Angeles,8780,7.6,4.6,7.4,9.9,16.8,17.2,10.3,17.8,4.7,3.7,53783.0,71489.0
83,90250,Hawthorne,Los Angeles,31864,6.2,5.3,11.0,13.2,17.3,18.8,11.0,10.3,4.0,3.1,47076.0,63481.0
84,90254,Hermosa Beach,Los Angeles,9197,2.7,2.2,2.7,2.4,5.2,13.5,13.5,15.9,13.8,28.2,121345.0,183374.0
85,90255,Huntington Park,Los Angeles,18669,5.9,9.3,18.3,14.2,15.8,17.0,9.8,7.9,1.3,0.5,37108.0,48550.0
86,90260,Lawndale,Los Angeles,10551,4.2,4.7,8.1,12.0,16.2,18.8,15.2,13.3,4.2,3.2,55666.0,68923.0
87,90262,Lynwood,Los Angeles,15296,6.0,6.2,12.5,12.5,19.6,19.4,10.7,9.5,2.5,1.1,43952.0,56783.0
88,90263,Malibu,Los Angeles,0,,,,,,,,,,,,
89,90265,Malibu,Los Angeles,7346,5.0,3.6,4.2,4.3,4.2,10.4,7.7,18.2,10.1,32.4,126227.0,228635.0
90,90266,Manhattan Beach,Los Angeles,13808,2.0,1.5,3.3,3.5,6.3,10.2,9.1,15.5,13.0,35.7,144868.0,220994.0
91,90270,Maywood,Los Angeles,6517,7.5,7.3,16.6,16.1,16.2,15.4,10.1,8.9,1.6,0.4,36717.0,48709.0
92,90272,Pacific Palisades,Los Angeles,9103,2.1,1.9,3.1,3.7,4.3,8.8,7.4,16.0,8.4,44.5,168225.0,303882.0
