,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($),FIPS,State
346,92707,Santa Ana,Orange,13458,3.4,2.8,7.6,9.5,16.4,20.6,12.8,18.2,5.3,3.4,61348.0,76565.0,6059,CA
347,92708,Fountain Valley,Orange,19162,3.3,2.8,7.4,5.6,9.3,16.9,13.9,20.4,11.1,9.4,83860.0,102374.0,6059,CA
348,92780,Tustin,Orange,19424,3.2,3.4,7.5,8.5,13.1,21.2,14.2,15.7,6.6,6.4,66306.0,84324.0,6059,CA
349,92782,Tustin,Orange,8306,4.7,1.5,5.4,5.4,8.6,14.2,10.3,22.0,10.5,17.5,100024.0,125009.0,6059,CA
350,92801,Anaheim,Orange,18166,5.4,5.4,10.5,10.9,17.4,21.0,11.8,10.3,4.8,2.6,50423.0,63823.0,6059,CA
351,92802,Anaheim,Orange,11582,6.4,4.6,9.6,13.5,14.4,17.3,12.2,13.7,5.9,2.3,51913.0,68282.0,6059,CA
352,92804,Anaheim,Orange,24166,7.4,6.0,9.5,8.4,13.5,19.8,13.7,14.2,4.1,3.4,53733.0,69446.0,6059,CA
353,92805,Anaheim,Orange,18383,4.9,5.1,8.8,9.3,14.7,20.7,13.6,14.6,5.3,2.8,56636.0,72621.0,6059,CA
354,92806,Anaheim,Orange,12356,4.1,3.7,7.7,10.1,11.8,18.7,13.9,17.8,6.9,5.4,64227.0,80467.0,6059,CA
355,92807,Anaheim,Orange,12170,1.5,1.9,4.5,5.3,7.9,14.4,14.7,22.3,13.0,14.7,99698.0,119635.0,6059,CA
356,92808,Anaheim,Orange,7426,3.7,1.5,5.1,3.9,7.2,10.0,8.8,25.4,13.2,21.2,113703.0,144809.0,6059,CA
357,92821,Brea,Orange,13541,2.7,2.7,6.7,5.7,10.4,16.8,13.7,22.7,9.5,8.9,82603.0,100761.0,6059,CA
358,92823,Brea,Orange,1148,1.3,3.3,9.0,0.6,7.2,6.6,7.4,24.1,15.7,24.7,132333.0,146409.0,6059,CA
359,92831,Fullerton,Orange,12234,7.5,4.6,8.9,7.1,12.1,19.6,12.2,14.6,5.8,7.5,61050.0,81630.0,6059,CA
360,92832,Fullerton,Orange,8182,7.3,4.1,8.9,8.8,12.4,23.3,12.5,13.4,5.7,3.6,58274.0,74253.0,6059,CA
361,92833,Fullerton,Orange,16021,6.0,3.9,8.1,6.7,10.6,19.5,12.9,15.8,7.7,8.7,67752.0,89471.0,6059,CA
362,92835,Fullerton,Orange,8335,4.5,3.0,5.1,4.5,9.4,12.2,13.4,18.6,10.7,18.5,94332.0,129425.0,6059,CA
363,92840,Garden Grove,Orange,15001,4.4,4.2,8.1,9.6,12.7,21.1,14.3,15.9,5.4,4.4,62420.0,77715.0,6059,CA
364,92841,Garden Grove,Orange,9530,7.8,5.5,10.9,8.6,12.1,20.2,11.6,13.3,6.2,3.7,55267.0,68869.0,6059,CA
365,92843,Garden Grove,Orange,11535,5.5,5.5,11.9,10.3,13.3,21.6,13.2,11.9,4.3,2.4,53489.0,66938.0,6059,CA
366,92844,Garden Grove,Orange,6605,6.9,5.0,13.7,12.8,11.4,16.8,15.4,11.7,2.8,3.5,50444.0,63859.0,6059,CA
367,92845,Garden Grove,Orange,5728,2.7,2.4,5.7,5.7,8.4,14.5,13.7,22.9,12.2,11.7,94451.0,108043.0,6059,CA
368,92861,Villa Park,Orange,1975,2.6,0.8,3.1,3.9,6.8,7.1,11.7,20.6,13.6,29.7,131750.0,173153.0,6059,CA
369,92865,Orange,Orange,6186,3.3,2.4,5.4,5.7,9.3,14.8,15.5,25.4,10.7,7.4,89016.0,100400.0,6059,CA
370,92866,Orange,Orange,5445,7.5,2.8,8.1,7.8,15.2,16.8,18.2,13.5,7.0,3.2,65460.0,76701.0,6059,CA
371,92867,Orange,Orange,12821,3.6,2.4,6.1,8.0,10.4,15.1,13.2,18.0,9.6,13.5,82347.0,112193.0,6059,CA
372,92868,Orange,Orange,7763,5.8,4.9,6.7,7.4,12.9,22.5,16.1,16.0,4.2,3.3,61404.0,75641.0,6059,CA
373,92869,Orange,Orange,11444,2.7,1.6,4.5,6.5,8.9,16.2,13.3,19.2,12.5,14.6,91904.0,118806.0,6059,CA
374,92870,Placentia,Orange,16947,2.6,2.1,7.2,5.9,10.8,16.9,15.2,18.1,12.3,8.9,81137.0,100355.0,6059,CA
375,92886,Yorba Linda,Orange,16079,2.2,1.0,4.9,4.1,7.4,11.6,13.2,21.5,14.0,20.1,112204.0,138960.0,6059,CA
376,92887,Yorba Linda,Orange,6704,1.7,0.7,2.5,5.3,6.5,9.9,11.5,19.4,16.5,26.0,129768.0,156449.0,6059,CA
