City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Placentia,92870,622600.0,621600.0,587200.0,540800.0,578600.0,667500.0,698600,721900,755400,795600,645050.0,5
Rancho Santa Margarita,92688,714800.0,692000.0,684300.0,650700.0,686900.0,778400.0,801300,850700,873700,900300,746600.0,5
San Clemente,92624,1296800.0,1156600.0,983100.0,874100.0,929100.0,1226100.0,1191900,1329500,1396800,1467000,1209000.0,5
San Clemente,92672,1360500.0,1329400.0,1331200.0,1146600.0,1204600.0,1372100.0,1471400,1527300,1700000,1852500,1366300.0,5
San Clemente,92673,1103700.0,1006900.0,886400.0,857700.0,926700.0,1067600.0,1098700,1172100,1187300,1268400,1083150.0,5
San Juan Capistrano,92675,1360800.0,1328700.0,1318000.0,1163200.0,1276500.0,1359600.0,1465700,1484000,1512600,1614700,1360200.0,5
Santa Ana,92701,471600.0,396200.0,416800.0,373300.0,422400.0,486100.0,538700,564900,595200,673200,478850.0,5
Santa Ana,92703,411300.0,352300.0,346400.0,359200.0,390900.0,445500.0,477200,505200,538200,599200,428400.0,5
Santa Ana,92704,479100.0,427600.0,417400.0,406700.0,440000.0,490000.0,526500,559400,631100,629900,484550.0,5
Santa Ana,92706,622200.0,578900.0,547900.0,539500.0,584200.0,676400.0,717300,755400,799600,819600,649300.0,5
Santa Ana,92707,467500.0,369400.0,357000.0,346000.0,404600.0,487600.0,510500,526400,568700,633100,477550.0,5
Seal Beach,90740,870900.0,794900.0,862600.0,823600.0,821500.0,947500.0,1019400,1076000,1166800,1180000,909200.0,5
Tustin,92780,620200.0,618900.0,576500.0,558200.0,601000.0,681000.0,699000,776600,806300,810600,650600.0,5
Tustin,92782,1103100.0,1052900.0,1016200.0,960000.0,1150500.0,1181100.0,1252700,1327600,1357900,1388600,1165800.0,5
Villa Park,92861,1216600.0,1202200.0,996500.0,949000.0,1078800.0,1246100.0,1271600,1324800,1317200,1408000,1231350.0,5
Westminster,92683,562500.0,543800.0,518600.0,503500.0,542100.0,610600.0,616600,680600,706900,760500,586550.0,5
Yorba Linda,92886,973600.0,882300.0,851400.0,814600.0,916700.0,1039700.0,1072100,1180100,1201900,1259500,1006650.0,5
Yorba Linda,92887,1113300.0,1021300.0,945200.0,930200.0,994400.0,1119000.0,1206900,1289200,1289100,1352100,1116150.0,5
