City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
San Clemente,92673,1060500.0,984200.0,873300.0,840900.0,895800.0,1014200.0,1060000,1145900,1177200,1244700,1037100.0,TopTier
San Juan Capistrano,92675,1220800.0,1205700.0,971100.0,922400.0,1034800.0,1121600.0,1211000,1281100,1317800,1357000,1208350.0,TopTier
Santa Ana,92701,414500.0,347900.0,343800.0,338600.0,371700.0,423900.0,444300,497500,532600,600800,419200.0,TopTier
Santa Ana,92703,404300.0,349400.0,347400.0,336800.0,382300.0,427900.0,443400,483500,518200,565800,416100.0,TopTier
Santa Ana,92704,451400.0,404700.0,387500.0,392800.0,422200.0,485000.0,524200,564700,604000,626400,468200.0,TopTier
Santa Ana,92706,541100.0,514400.0,499100.0,467400.0,530200.0,622900.0,648000,688200,719000,757200,582000.0,TopTier
Santa Ana,92707,434300.0,371900.0,372100.0,374000.0,401400.0,477000.0,497600,536600,569000,622100,455650.0,TopTier
Seal Beach,90740,969200.0,1015300.0,950900.0,876000.0,896200.0,1069600.0,1104900,1201800,1254400,1293700,1042450.0,TopTier
Silverado,92676,1150500.0,1051200.0,856500.0,766700.0,831400.0,997800.0,1045400,1115500,1162100,1156100,1048300.0,TopTier
Stanton,90680,413700.0,390100.0,373000.0,360000.0,385400.0,440500.0,466600,512400,536200,573600,427100.0,TopTier
Tustin,92780,570700.0,567000.0,535400.0,512300.0,575000.0,651800.0,669600,722700,758000,791100,613400.0,TopTier
Tustin,92782,848900.0,853500.0,841400.0,829400.0,911900.0,1024400.0,1013300,1120100,1159600,1214800,962600.0,TopTier
Villa Park,92861,1448700.0,1446500.0,1391800.0,1288400.0,1312000.0,1344000.0,1388400,1544100,1566900,1634800,1419150.0,TopTier
Westminster,92655,449900.0,429500.0,411700.0,404300.0,438500.0,493800.0,519700,562300,617100,653800,471850.0,TopTier
Westminster,92683,564900.0,553600.0,539000.0,507500.0,554400.0,614100.0,628100,686500,718000,759300,589500.0,TopTier
Yorba Linda,92886,902900.0,835800.0,797200.0,790000.0,863800.0,965900.0,1004000,1127400,1124100,1180800,934400.0,TopTier
Yorba Linda,92887,956700.0,903400.0,846400.0,821000.0,956500.0,1062700.0,1097600,1224300,1203000,1249000,1009700.0,TopTier
