City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms,Type
Santa Ana,92703,276000.0,221500.0,235000.0,231800.0,252300.0,300300.0,336000,358900,373900,421200,288150.0,BottomTier,BottomTier
Santa Ana,92704,241000.0,173500.0,184500.0,179000.0,188100.0,239200.0,280800,306400,312900,354700,240100.0,BottomTier,BottomTier
Santa Ana,92706,356500.0,319800.0,304600.0,310300.0,339800.0,394800.0,414600,454000,488200,541400,375650.0,BottomTier,BottomTier
Santa Ana,92707,253900.0,199700.0,200900.0,205400.0,218900.0,256700.0,308600,332300,354800,396400,255300.0,BottomTier,BottomTier
Seal Beach,90740,579700.0,605500.0,584400.0,548100.0,576800.0,628000.0,625400,720100,743000,785300,615450.0,BottomTier,BottomTier
Stanton,90680,255900.0,219900.0,214100.0,209500.0,215000.0,273500.0,292200,318500,342800,377100,264700.0,BottomTier,BottomTier
Tustin,92780,268500.0,213700.0,206700.0,194100.0,225900.0,282200.0,321600,345800,359200,407100,275350.0,BottomTier,BottomTier
Tustin,92782,389800.0,372100.0,354000.0,342500.0,363100.0,421400.0,444500,471200,499200,540300,405600.0,BottomTier,BottomTier
Villa Park,92861,777400.0,725500.0,710600.0,665200.0,719200.0,832800.0,840000,915800,907900,964700,805100.0,BottomTier,BottomTier
Westminster,92655,348900.0,296900.0,310000.0,304900.0,344500.0,376700.0,398600,445100,499300,538200,362800.0,BottomTier,BottomTier
Westminster,92683,391500.0,374200.0,360800.0,343000.0,377200.0,421700.0,453500,490800,525100,572500,406600.0,BottomTier,BottomTier
Yorba Linda,92886,469500.0,455000.0,445800.0,416700.0,454400.0,522700.0,553100,583400,630800,659000,496100.0,BottomTier,BottomTier
Yorba Linda,92887,455200.0,434300.0,414100.0,405400.0,441100.0,480500.0,531000,553000,588800,640300,467850.0,BottomTier,BottomTier
